enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
VTG24-66926,GB,National Grid Electricity Transmission plc and Scottish Power Transmission plc,utilities and power generation,consumer-protection-related offenses,consumer protection violation,2021-11-30,209381600,Office of Gas and Electricity Markets,National Grid Electricity Transmission plc and Scottish Power Transmission plc agreed to pay a £158 million consumer redress package following a finding by Ofgem that delays to the Western Link Project and a resulting lack of capacity to deliver renewable electricity led to higher costs for customers.,Link to this record on Violation Tracker UK: here
VTG24-65908,GB,Deutsche Bank AG,financial services,financial offenses,anti-money-laundering deficiencies,2017-01-30,203486512,Financial Conduct Authority,Deutsche Bank paid a £154 million fine and made a £9 million disgorgement in settlement of a finding by the FCA that the company and an inadequate anti-money laundering control framework and had allowed a large amount of trades between its Moscow and London branches that should have been investigated as highly suggestive of financial crime.,Link to this record on Violation Tracker UK: here
VTG24-66317,GB,British Telecommunications plc,telecommunications,competition-related offenses,anti-competitive practices,2012-12-20,190403926,Office of Communications,"BT was ordered to repay £94.8 million to the companies Sky UK Ltd., TalkTalk Telecom Group plc, Virgin Media Ltd., Cable & Wireless Worldwide plc, and Verizon UK Ltd. in a finding that BT had overcharged them for certain Ethernet services. Appeals slightly reduced the amount but added interest, for a net additional £22.2 million.",Link to this record on Violation Tracker UK: here
VTG24-65915,GB,The Bank of New York Mellon International Limited et al.,financial services,financial offenses,investor protection violation,2015-04-14,186354000,Financial Conduct Authority,The Bank of New York Mellon London branch and The Bank of New York Mellon International Limited paid a £126 million fine in settlement of a finding by the FCA that the companies failed to comply with custody rules to ensure they had adequate controls and records to protect client assets.,Link to this record on Violation Tracker UK: here
VTG24-73396,GB,Google,information technology,financial offenses,tax violations,2016-01-23,186004000,HM Revenue & Customs,Google agreed to pay £130 million in taxes to settle HMRC claims it had not paid the correct amount of tax in the UK.,Link to this record on Violation Tracker UK: here
VTG24-65911,GB,Lloyds Bank plc and Bank of Scotland plc and Black Horse Limited,financial services,consumer-protection-related offenses,insurance violation,2015-06-04,180455603,Financial Conduct Authority,Lloyds Bank and subsidiaries paid £117 million fines in settlement of a finding by the FCA that they did not fairly handle customers complaints about the mis-selling of Payment Protection Insurance by not providing full information to complaint handlers and allowing a default assumption that the company had not mis-sold PPI.,Link to this record on Violation Tracker UK: here
VTG24-65930,GB,Lloyds Bank plc and Bank of Scotland plc,financial services,competition-related offenses,interest rate benchmark manipulation,2014-07-28,178405500,Financial Conduct Authority,"Lloyds Bank and Bank of Scotland paid £105 million in settlement of a finding by the FCA that the companies manipulated both LIBOR and the SLS Spread, the figure used to calculate fees paid to the Bank of England by the companies benefiting from the Special Liquidity Scheme during the 2008 financial crisis.",Link to this record on Violation Tracker UK: here
VTG24-66399,GB,Tesco Stores Limited,retailing,financial offenses,accounting fraud or deficiencies,2019-01-23,172576800,Serious Fraud Office,"According to the SFO, between February and September 2014, instead of working to safeguard the financial interests of the company and its shareholders, a culture existed at Tesco that encouraged illegal practices to meet accounting targets, including improperly recognised income in the UK accounts, by pulling forward income from subsequent reporting periods. A deferred prosecution agreement was announced in 2017 but its details were not revealed until 2019.",Link to this record on Violation Tracker UK: here
VTG24-65940,GB,Cooperatieve Centrale Raiffeisen-Boerenleenbank B.A.,financial services,competition-related offenses,interest rate benchmark manipulation,2013-10-29,168619500,Financial Conduct Authority,Rabobank paid a £105 million fine in settlement of a finding by the FCA that the company's managers and employees sought to manipulate LIBOR in collusion with other brokers and Panel Banks.,Link to this record on Violation Tracker UK: here
VTG24-67240,GB,Auden Mckenzie and Actavis UK,pharmaceuticals,competition-related offenses,anti-competitive practices,2023-09-18,161239000,Competition and Markets Authority,"The Competition Appeal Tribunal upheld a finding by the Competition and Markets Authority that Auden/Actavis UK abused a dominant market position to increase the price of hydrocortisone tablets over a decade by over 10,000%, imposing a fine of about £130 million.",Link to this record on Violation Tracker UK: here
VTG24-66436,GB,Southern Water,financial services,consumer-protection-related offenses,utility service violation,2019-06-25,160284600,Water Services Regulation Authority,Southern Water agreed to pay £126m in penalties and payments to customers following serious failures in the operation of its sewage treatment sites and for deliberately misreporting its performance.,Link to this record on Violation Tracker UK: here
VTG24-66437,GB,Thames Water Utilities Limited,utilities and power generation,consumer-protection-related offenses,utility service violation,2018-08-08,154560000,Water Services Regulation Authority,"Ofwat confirmed that Thames Water will pay £65M back to its customers as part of a total package of payments and penalties worth £120M. This followed an Ofwat investigation into Thames' failure to meet commitments it made to its customers to tackle leakage. As part of that investigation, Ofwat found that Thames Water's Board did not pay enough attention to reducing leakage, and underestimated its legal responsibility for oversight of its leakage operations and the responsibilities of its Board.",Link to this record on Violation Tracker UK: here
VTG24-66394,GB,Amec Foster Wheeler Limited,oilfield services and supplies,competition-related offenses,kickbacks and bribery,2021-07-02,142088500,Serious Fraud Office,"The Serious Fraud Office entered into a Deferred Prosecution Agreement (DPA) with Amec Foster Wheeler Limited (AFWEL) relating to the use of corrupt agents in the oil and gas sector. In entering into the DPA, AFWEL has taken responsibility for ten offences of corruption relating to the use of corrupt agents in the oil and gas sector by the legacy Foster Wheeler business. The offences spanned from 1996 to 2014 and took place across the world, in Nigeria, Saudi Arabia, Malaysia, India and Brazil.",Link to this record on Violation Tracker UK: here
VTG24-80858,GB,Thames Water,utilities and power generation,environment-related offenses,water pollution violation,2025-05-28,140677900,Water Services Regulation Authority,"Ofwat issued an enforcement order requiring Thames Water to take particular steps to facilitate its compliance with regulations, and imposed a financial penalty of £104.5 million after an investigation found failings to limit spills and environmental harm from storm overflows, in contravention of regulations and licence conditions.",Link to this record on Violation Tracker UK: here
VTG24-65972,GB,The Royal Bank of Scotland plc,financial services,competition-related offenses,interest rate benchmark manipulation,2013-02-06,136981250,Financial Services Authority,RBS paid £87.5 million in settlement of a finding by the FSA that the company's employees sought to manipulate LIBOR through collusion in the company and with other banks and traders.,Link to this record on Violation Tracker UK: here
VTG24-73164,GB,TSB Bank plc,financial services,consumer-protection-related offenses,consumer protection violation,2024-10-10,133966976,Financial Conduct Authority,"The FCA fined TSB £10,910,500 for failing to ensure customers who were in arrears were treated fairly. TSB refunded fees and charges of £69,551,883 plus £22,170,710 interest made by mortgage, current account, loan and credit card customers during the period when the bank did not have suitable oversight of its arrears processes.",Link to this record on Violation Tracker UK: here
VTG24-65900,GB,Standard Chartered Bank,financial services,financial offenses,anti-money-laundering deficiencies,2019-04-09,133302543,Financial Conduct Authority,"Standard Chartered paid a fine of £102 million in settlement of a finding by the FCA that the company failed to establish and maintain anti-money laundering procedures, leading to the bank being at risk of breaching sanctions and laundering the proceeds of crime. US authorities took action against Standard Charter for alleged sanctions violations in a related investigation.",Link to this record on Violation Tracker UK: here
VTG24-67055,GB,Santander UK Plc,financial services,financial offenses,anti-money-laundering deficiencies,2022-12-09,132704332,Financial Conduct Authority,Santander was fined £107 million in settlement of a finding by the FCA that the bank failed to properly oversee and manage its anti money-laundering systems over several years.,Link to this record on Violation Tracker UK: here
VTG24-65891,GB,Lloyds Bank General Insurance Limited,financial services,consumer-protection-related offenses,insurance violation,2021-07-08,124850720,Financial Conduct Authority,"The FCA fined LBGI (Lloyds Bank General Insurance Limited, St Andrew's Insurance Plc, Lloyds Bank Insurance Services Limited and Halifax General Insurance Services Limited) £90,688,400 for failing to ensure that language contained within millions of home insurance renewals communications was clear, fair and not misleading.",Link to this record on Violation Tracker UK: here
VTG24-66847,GB,SOUTHERN WATER SERVICES LTD,financial services,environment-related offenses,water pollution violation,2021-09-07,124128000,Environment Agency,"Southern Water has been handed a record £90 million fine after pleading guilty to thousands of illegal discharges of sewage which polluted rivers and coastal waters in Kent, Hampshire and Sussex.",Link to this record on Violation Tracker UK: here
VTG24-67262,GB,Serco Geografix Ltd,miscellaneous services,competition-related offenses,fraud,2019-07-04,114871520,Serious Fraud Office,"In entering a deferred prosecution agreement, SGL took responsibility for three offences of fraud and two of false accounting arising from a scheme to dishonestly mislead the Ministry of Justice as to the true extent of the profits being made between 2010 and 2013 by SGL's parent company, Serco Limited (SL), from its contract for the provision of electronic monitoring services. The company had already paid £68.5 million in restitution for the overcharges discovered in a 2013 audit.",Link to this record on Violation Tracker UK: here
VTG24-67052,GB,Yorkshire Water,utilities and power generation,consumer-protection-related offenses,utility service violation,2022-10-13,113440000,Water Services Regulation Authority,"Yorkshire Water agreed to invest an additional £100 million to reduce spills to the environment from storm overflows in addition to already committed investment, in an undertaking with Ofwat settling concerns that the company had made inter-company loans to associated companies to an extent that could leave Yorkshire Water without the financial resilience to carry out its licence obligations to customers and the environment.",Link to this record on Violation Tracker UK: here
VTG24-67299,GB,Credit Suisse International and Credit Suisse Securities (Europe) Ltd,financial services,financial offenses,internal controls deficiency,2023-07-24,111708790,Bank of England-Prudential Regulation Authority,"Credit Suisse was fined £87 million in a finding by an investigation involving the PRA of significant failures in risk management and governance in connection with the firm's exposure (by providing prime brokerage services and equity total return swaps) to Archegos Capital Management, which defaulted in 2021 with approximately $5.1 billion of losses.",Link to this record on Violation Tracker UK: here
VTG24-65910,GB,Barclays Bank plc,financial services,financial offenses,anti-money-laundering deficiencies,2015-11-25,108889656,Financial Conduct Authority,"Barclays paid a £19,769,400 fine and made a £52,300,000 disgorgement in settlement of a finding by the FCA that the company did exercise due skill, care and diligence in managing the risk of financial crime when it decided that clients with large deposits and confidentiality demands required it to address the financial crime risks in an ad hoc way instead of through normal departments.",Link to this record on Violation Tracker UK: here
VTG24-66886,GB,Petrofac Limited,oilfield services and supplies,competition-related offenses,kickbacks and bribery,2021-10-04,104782497,Serious Fraud Office,"Petrofac Limited pleaded guilty to failing to prevent former senior executives of the Petrofac group of subsidiaries from using agents to systematically bribe officials, to win oil contracts in Iraq, Saudi Arabia and the United Arab Emirates. Petrofac Limited was ordered to pay confiscation of GBP 22,836,985, they were fined over GBP 47,197,640 and the SFO's costs of GBP 7 million.",Link to this record on Violation Tracker UK: here
VTG24-66435,GB,Chemtura Corp. and Chemtura Manufacturing UK Ltd.,chemicals,employment-related offenses,pension plan violation,2011-05-01,100140000,The Pensions Regulator,Chemtura and the Great Lakes UK Limited Pension Plan agreed to a settlement with £60 million support for the pension fund after concerns by TPR that the Chapter 11 bankruptcy of Chemtura in the US threatened the financial position of the fund.,Link to this record on Violation Tracker UK: here
VTG24-66431,GB,Coats Group plc,miscellaneous manufacturing,employment-related offenses,benefit plan administrator violation,2017-06-01,95415600,The Pensions Regulator,"Coats Group agreed to pay £255.5 million to two pension schemes, and £74 million to a third pension scheme, in settlement of a Warning Notice by TPR alleging the company was liable for substantial deficits in the schemes, which would be left insufficiently resourced and with high levels of risk following Coats selling off its investment shareholdings and allocating the majority of benefit to shareholders.",Link to this record on Violation Tracker UK: here
VTG24-66320,GB,British Airways,airlines,competition-related offenses,anti-competitive practices,2012-04-19,93939300,Office of Fair Trading,British Airways paid a £58.5 million fine in settlement of a decision by the OFT that the company engaged in anti-competitive practices along with Virgin Atlantic to coordinate their passenger fuel surcharges through exchange of commercially sensitive information. Virgin Atlantic was granted immunity to a fine under the OFT leniency policy having brought the matter to the OFT's attention.,Link to this record on Violation Tracker UK: here
VTG24-65978,GB,Barclays Bank plc,financial services,competition-related offenses,interest rate benchmark manipulation,2012-06-27,92516550,Financial Services Authority,"Barclays paid a £59.5 million fine in settlement of a finding by the FSA that the company's employees colluded with individuals both inside and outside the bank, and with other businesses, to influence the LIBOR and EURIBOR rates for their benefit.",Link to this record on Violation Tracker UK: here
VTG24-83255,GB,Anglian Water,utilities and power generation,consumer-protection-related offenses,utility service violation,2025-09-09,84987240,Water Services Regulation Authority,"Ofwat accepted undertakings from Anglian Water in settlement of investigation findings that the company had failed to operate, maintain and update its wastewater assets, in breach of its legal and licence duties. Anglian Water agreed to invest £57 million to reduce discharges and pay £5.8 million to create a social and environmental restitution fund.",Link to this record on Violation Tracker UK: here
VTG24-66925,GB,HSBC Bank plc,financial services,financial offenses,anti-money-laundering deficiencies,2021-12-17,84851009,Financial Conduct Authority,HSBC agreed to pay £63 million in settlement of a finding by the FCA that the company's anti-money laundering processes had serious failings over a period of eight years.,Link to this record on Violation Tracker UK: here
VTG24-65896,GB,Lloyds Bank plc and Bank of Scotland plc and The Mortgage Business plc,financial services,consumer-protection-related offenses,mortgage abuses,2020-06-11,80923132,Financial Conduct Authority,Lloyds Bank and subsidiaries paid £64 million fines in settlement of findings by the FCA that they did not fairly handle mortgage customers in payment difficulties or arrears.,Link to this record on Violation Tracker UK: here
VTG24-75412,GB,Pfizer Limited,pharmaceuticals,competition-related offenses,anti-competitive practices,2022-07-21,74644416,Competition and Markets Authority,"Pfizer and Flynn were fined £63 million and £6.7 million respectively after a finding by the CMA that the companies illegally exploited their dominant market position to charge the NHS excessive prices for phenytoin sodium capsules, an anti-epilepsy medicine, with Pfizer stopping sale of its price regulated branded version and transferring the contract to Flynn who sold the same phenytoin as a generic price unregulated drug with over 1000% price increases. In November 2024 the Competition Appeal Tribunal agreed with most of the drug firms' grounds of appeal, but imposed the same level of fines as the CMA, but for a 1% reduction of Pfizer's fine.",Link to this record on Violation Tracker UK: here
VTG24-67298,GB,HSBC Bank plc and HSBC UK Bank plc,financial services,financial offenses,internal controls deficiency,2024-01-30,72822615,Bank of England-Prudential Regulation Authority,"HSBC was fined £57 million following a finding by the PRA that they failed to put in place adequate systems and controls, and governance, to ensure the integrity of critical information which the Financial Services Compensation Scheme relies upon to make prompt payments to depositors in the event of a firm failure.",Link to this record on Violation Tracker UK: here
VTG24-66889,GB,Facebook,information technology,competition-related offenses,anti-competitive practices,2021-10-20,69796050,Competition and Markets Authority,The CMA fined Facebook £50.5 million for breaching an initial enforcement order imposed by the agency during its investigation into Facebook's purchase of Giphy. This was the first time a company has been found by the CMA to have breached an IEO by consciously refusing to report all the required information.,Link to this record on Violation Tracker UK: here
VTG24-79797,GB,Cinven,private equity (including portfolio companies),competition-related offenses,anti-competitive practices,2025-05-08,68959530,Competition and Markets Authority,"The Competition and Markets Authority (CMA) found that from 2009 until 2017 the pharmaceutical company Advanz charged excessive and unfair prices for supplying liothyronine tablets which are used to treat thyroid hormone deficiency. The agency also fined two private equity firms, HGCapital and Cinven, that previously owned parts of the business. Cinven was initially fined £51.9 million in 2021. The Competition Appeal Tribunal reduced that amount to £37.1 million but the original penalty was restored by the Court of Appeal in 2025.",Link to this record on Violation Tracker UK: here
VTG24-65924,GB,Royal Bank of Scotland Plc and National Westminster Bank Plc and Ulster Bank Plc,financial services,financial offenses,banking violation,2014-11-19,65814000,Financial Conduct Authority,"RBS, NatWest and Ulster Bank Ltd paid £42 million in settlement of a finding by the FCA that they failed to have adequate IT systems, allowing a failed software update to disable online transaction systems leaving millions of customers unable to assess accounts with problems that went on for several weeks. This was a joint action with the Prudential Regulation Authority which fined the banks £14 million (see separate entry).",Link to this record on Violation Tracker UK: here
VTG24-66303,GB,Royal Mail plc,diversified,competition-related offenses,anti-competitive practices,2018-08-14,63690000,Office of Communications,Royal Mail was fined £50 million in a finding by Ofcom that the company abused its market position by making competitors pay higher prices than companies that were not competing in mail delivery.,Link to this record on Violation Tracker UK: here
VTG24-65894,GB,Goldman Sachs International,financial services,financial offenses,investor protection violation,2020-10-21,63491730,Financial Conduct Authority,"Goldman Sachs paid a total of £96.6 million in fines to the FCA and PRA in settlement of a finding the company failed to properly assess risks and manage allegations of bribery and misconduct when it arranged three bond transactions with 1MDB, a fund that collapsed with alleged fraud. The fines were part of a $2.9 billion globally coordinated resolution.",Link to this record on Violation Tracker UK: here
VTG24-66386,GB,Goldman Sachs International,financial services,financial offenses,risk management failure,2020-10-22,63235696,Bank of England-Prudential Regulation Authority,"The PRA said it took action in light of GSI's failings arising from its involvement as arranger, initial purchaser and underwriter in three bond transactions in 2012 and 2013 for 1Malaysia Development Berhad (1MDB), a strategic investment and development company wholly-owned by the Malaysian government. The PRA stated that GSI failed to assess and manage risk to the heightened standard that was required of it.",Link to this record on Violation Tracker UK: here
VTG24-65927,GB,Barclays Bank plc,financial services,financial offenses,investor protection violation,2014-09-23,61788565,Financial Conduct Authority,"Barclays paid a £37.7 million fine in settlement of a finding by the FCA that the Investment Banking Division of the company failed to properly protect client's assets worth £16.5 billion, data errors and failure to follow Client Asset Rules across countries meaning records did not correctly reflect which company in the Investment Banking Division was responsible for assets in the account and could suggest assets belonged to Barclays instead of its clients.",Link to this record on Violation Tracker UK: here
VTG24-66924,GB,Standard Chartered Bank,financial services,financial offenses,internal controls deficiency,2021-12-20,61548410,Bank of England-Prudential Regulation Authority,The Prudential Regulation Authority imposed a financial penalty on Standard Chartered Bank of £46.55 million for failing to be open and cooperative with the PRA and for failings in its regulatory reporting governance and controls in relation to a tailored PRA liquidity expectation.,Link to this record on Violation Tracker UK: here
VTG24-65899,GB,Bank of Scotland,financial services,financial offenses,banking violation,2019-06-20,57785000,Financial Conduct Authority,Bank of Scotland paid a £45.5 million fine in settlement of an FCA finding that the company failed to report suspicious conduct by persons associated with the company who were later prosecuted for fraud.,Link to this record on Violation Tracker UK: here
VTG24-65539,GB,Advanz Pharma,private equity (including portfolio companies),competition-related offenses,anti-competitive practices,2021-07-29,57120940,Competition and Markets Authority,"The Competition and Markets Authority (CMA) found that from 2009 until 2017 the pharmaceutical company Advanz charged excessive and unfair prices for supplying liothyronine tablets which are used to treat thyroid hormone deficiency. The agency also fined two private equity firms, HGCapital and Cinven, that previously owned parts of the business.",Link to this record on Violation Tracker UK: here
VTG24-66387,GB,"Citigroup Global Markets Limited, Citibank N.A. London branch and Citibank Europe Plc UK branch",financial services,financial offenses,internal controls deficiency,2019-11-26,56398650,Bank of England-Prudential Regulation Authority,"During the Relevant Period, according to the PRA, the three entities breached Fundamental Rule 6 because they failed to organise and control their affairs responsibly and effectively to ensure that they complied with their UK regulatory reporting obligations.",Link to this record on Violation Tracker UK: here
VTG24-66396,GB,G4S Care and Justice Services (UK) Ltd,business services,competition-related offenses,fraud,2020-07-10,56183760,Serious Fraud Office,fraud against the Ministry of Justice in connection with electronic monitoring contracts,Link to this record on Violation Tracker UK: here
VTG24-67157,GB,Cadent Gas Limited,utilities and power generation,competition-related offenses,energy market violation,2019-05-22,55765600,Office of Gas and Electricity Markets,"Ofgem decided to conclude enforcement action under the the alternative action guidelines following Cadent's remedial action of spending £24 million on a restitution and improvement plan and an estimated £20 million setting up a community fund, following concerns by Ofgem that the company's records about its network were not accurate, thus breaching its licence requirements to maintain an efficient and economic gas pipeline system and resulting in customers being without gas supply and unable to receive the required compensation.",Link to this record on Violation Tracker UK: here
VTG24-66307,GB,British Telecommunications plc,telecommunications,competition-related offenses,anti-competitive practices,2017-03-26,52848600,Office of Communications,BT paid £42 million in settlement of a finding by Ofcom that the company misused terms in its contracts to reduce compensations payments owed to other telecoms providers for failing to deliver ethernet leased line services on time. BT's dominant position in network infrastructure require it follow regulations promoting competition in services.,Link to this record on Violation Tracker UK: here
VTG24-66434,GB,Serco Limited,miscellaneous services,employment-related offenses,pension plan violation,2014-11-01,52796700,The Pensions Regulator,"Serco and Docklands Light Railway agreed to pay a total of £37 million to the Docklands Light Railway Pension Scheme after TPR issued a warning notice requiring the parties to hire skilled persons to advise them, following concerns by TPR about the scheme's funding position.",Link to this record on Violation Tracker UK: here
