Column_1,ETid,Country,Column_4,Date of Decision,Fine [€],Controller/Processor,Column_8,Quoted Art.,Type,Column_11,Source,Column_13
,ETid-2950 | https://www.enforcementtracker.com/ETid-2950,AUSTRIA AUSTRIA,Austrian Data Protection Authority (dsb),2025-11-18,80,Journalist,Individuals and Private Associations,"Art. 5 (1) a), c) GDPR, Art. 6 (1) GDPR",Insufficient legal basis for data processing,"The Austrian DPA has imposed a fine of EUR 80 on a Journalist. The controller published unnecessary private data about a data subject on social media, including their address.",link | https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=4f4c13fb-72d0-4143-915d-9ef90353be15&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=EinerWoche&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20251118_2025_0_902_556_00,https://www.enforcementtracker.com/ETid-2950 (Copy: ) | Short URL: https://etid.link/ETid-2950 ETid 2950 | https://www.enforcementtracker.com/ETid-2950
,ETid-2949 | https://www.enforcementtracker.com/ETid-2949,GREECE GREECE,Hellenic Data Protection Authority (HDPA),2025-11-07,"1,000",Company,Employment,"Art. 12 (5) GDPR, Art. 15 (1), (3) GDPR",Insufficient fulfilment of data subjects rights,"The Greek DPA has imposed a fine of EUR 1,000 on a Company. The controller failed to react adequately to a data subject's request to exercise their rights.",link | https://www.dpa.gr/sites/default/files/2025-11/41_2025%20anonym.pdf,https://www.enforcementtracker.com/ETid-2949 (Copy: ) | Short URL: https://etid.link/ETid-2949 ETid 2949 | https://www.enforcementtracker.com/ETid-2949
,ETid-2948 | https://www.enforcementtracker.com/ETid-2948,BELGIUM BELGIUM,Belgian Data Protection Authority (APD),2025-11-27,"40,000",Infobel,Industry and Commerce,"Art. 5 (1) a) GDPR, Art. 6 (1) GDPR, Art. 24 GDPR",Insufficient legal basis for data processing,"The Belgian DPA has imposed a fine of EUR 40,000 on Infobel. The controller, a data broker, sold personal data for direct marketing purposes. However, it processed the data it had sold without a sufficient legal basis.",link link | https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n0-199-2025.pdf,https://www.enforcementtracker.com/ETid-2948 (Copy: ) | Short URL: https://etid.link/ETid-2948 ETid 2948 | https://www.enforcementtracker.com/ETid-2948
,ETid-2947 | https://www.enforcementtracker.com/ETid-2947,FRANCE FRANCE,French Data Protection Authority (CNIL),2025-11-27,"1,500,000",AMERICAN EXPRESS CARTE FRANCE,"Finance, Insurance and Consulting",Art. 82 loi Informatique et Libertés,Insufficient legal basis for data processing,"The French DPA has imposed a fine of EUR 1,500,000 on AMERICAN EXPRESS CARTE FRANCE. The controller used excessive cookies on its website and failed to adequately inform data subjects about them.",link link | https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000052981827,https://www.enforcementtracker.com/ETid-2947 (Copy: ) | Short URL: https://etid.link/ETid-2947 ETid 2947 | https://www.enforcementtracker.com/ETid-2947
,ETid-2946 | https://www.enforcementtracker.com/ETid-2946,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-09,"5,000",FT Solutions S.r.l.,Industry and Commerce,"Art. 5 (1) a), b), d), f), (2) GDPR, Art. 6 (1) a) GDPR, Art. 7 GDPR, Art. 12 (1), (2) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 (2) GDPR, Art. 24 GDPR, Art. 25 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 5,000 on FT Solutions S.r.l. The fined entity had been active in direct marketing activities as a data processor. During these activities, the processor used personal data for this purpose without sufficient legal basis, obtained from a third party that also collected the data in violation of data protection principles. Furthermore, the processor failed to inform data subjects regarding the processing and to implement adequate data protection measures.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10193723,https://www.enforcementtracker.com/ETid-2946 (Copy: ) | Short URL: https://etid.link/ETid-2946 ETid 2946 | https://www.enforcementtracker.com/ETid-2946
,ETid-2945 | https://www.enforcementtracker.com/ETid-2945,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-23,"2,000",Comune di Avola,Public Sector and Education,Art. 37 (7) GDPR,Lack of appointment of data protection officer,"The Italian DPA has imposed a fine of EUR 2,000 on the Comune di Avola. The controller failed to communicate the DPO's contact details to the DPA.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10195379,https://www.enforcementtracker.com/ETid-2945 (Copy: ) | Short URL: https://etid.link/ETid-2945 ETid 2945 | https://www.enforcementtracker.com/ETid-2945
,ETid-2944 | https://www.enforcementtracker.com/ETid-2944,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-23,"4,000",'Statista Aldo Moro' Higher Education Institute in Fara Sabina,Public Sector and Education,"Art. 5 (1) a) GDPR, Art. 6 (1) c), e), (2), (3) GDPR, Art. 37 (1), (7) GDPR",Insufficient legal basis for data processing,"The Italian DPA has imposed a fine of EUR 4,000 on the 'Statista Aldo Moro' Higher Education Institute in Fara Sabina. The controller published a protocol of disciplinary proceedings on its institutional website which included the personal data of the individual concerned.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10195414,https://www.enforcementtracker.com/ETid-2944 (Copy: ) | Short URL: https://etid.link/ETid-2944 ETid 2944 | https://www.enforcementtracker.com/ETid-2944
,ETid-2943 | https://www.enforcementtracker.com/ETid-2943,ROMANIA ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2025-11-19,"3,000",Greencorp S.R.L.,Industry and Commerce,"Art. 32 (1), b) d), (2) GDPR",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 3,000 on Greencorp S.R.L. The controller failed to implement adequate technical and organisational measures to ensure data security, which resulted in a successful cyberattack.",link | https://www.dataprotection.ro/?page=Comunicat_Presa_19.11.2025,https://www.enforcementtracker.com/ETid-2943 (Copy: ) | Short URL: https://etid.link/ETid-2943 ETid 2943 | https://www.enforcementtracker.com/ETid-2943
,ETid-2942 | https://www.enforcementtracker.com/ETid-2942,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-10-28,"6,000","APARELLS ORTOPEDICS CURTO, S.L",Health Care,Art. 5 (1) f) GDPR,Insufficient fulfilment of data subjects rights,"The Spanish DPA has imposed a fine of EUR 6,000 on APARELLS ORTOPEDICS CURTO, S.L. The controller was unable to retain the data it was required to ensure the availability of, which resulted in the controller being unable to adequately respond to a data subject's request to exercise her rights. The original fine of EUR 10,000 was reduced to EUR 6,000 due to immediate payment and admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00391-2024.pdf,https://www.enforcementtracker.com/ETid-2942 (Copy: ) | Short URL: https://etid.link/ETid-2942 ETid 2942 | https://www.enforcementtracker.com/ETid-2942
,ETid-2941 | https://www.enforcementtracker.com/ETid-2941,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-10-22,"80,000","SENDING TRANSPORTE Y COMUNICACIÓN, S.A.",Transportation and Energy,"Art. 28 (2), (4) GDPR",Insufficient data processing agreement,"The Spanish DPA has imposed a fine of EUR 80,000 on SENDING TRANSPORTE Y COMUNICACIÓN, S.A. The fined entity is a subprocessor of the controller. It appointed another subcontractor without being allowed to do so, using an inadequate DPA.",link | https://www.aepd.es/documento/ps-00058-2025.pdf,https://www.enforcementtracker.com/ETid-2941 (Copy: ) | Short URL: https://etid.link/ETid-2941 ETid 2941 | https://www.enforcementtracker.com/ETid-2941
,ETid-2940 | https://www.enforcementtracker.com/ETid-2940,POLAND POLAND,Polish National Personal Data Protection Office (UODO),2025-10-23,"5,000",Court Bailiff,Public Sector and Education,"Art. 33 (1) GDPR, Art. 34 (1), (2) GDPR",Insufficient fulfilment of data breach notification obligations,"The Polish DPA has imposed a fine of EUR 5,000 on a court bailiff. The controller forwarded a letter containing personal data to the wrong person, failing to inform either the affected data subjects or the DPA.",link link | https://orzeczenia.uodo.gov.pl/document/urn:ndoc:gov:pl:uodo:2024:dkn_5131_17/content,https://www.enforcementtracker.com/ETid-2940 (Copy: ) | Short URL: https://etid.link/ETid-2940 ETid 2940 | https://www.enforcementtracker.com/ETid-2940
,ETid-2939 | https://www.enforcementtracker.com/ETid-2939,LUXEMBOURG LUXEMBOURG,National Commission for Data Protection (CNPD),2025-04-30,"7,000",Company,Industry and Commerce,"Art. 30 (1) a), c), f) GDPR",Non-compliance with general data processing principles,"The DPA of Luxembourg has issued a fine of EUR 7,000 on a company. The controller failed to maintain complete records of its processing activities.",link | https://cnpd.public.lu/content/dam/cnpd/fr/decisions-fr/2025/dcision-de-la-fr-nr-3fr-2025-du-30-avril-2025-version-pseudonymise.pdf,https://www.enforcementtracker.com/ETid-2939 (Copy: ) | Short URL: https://etid.link/ETid-2939 ETid 2939 | https://www.enforcementtracker.com/ETid-2939
,ETid-2938 | https://www.enforcementtracker.com/ETid-2938,AUSTRIA AUSTRIA,Austrian Data Protection Authority (dsb),2025-09-04,870,Company,Not assigned,Art. 33 (3) GDPR,Insufficient fulfilment of data breach notification obligations,"The Austrian DPA has imposed a fine of EUR 870 on a company. After being informed of a data breach, the controller took adequate measures to close it but failed to inform the DPA.",link | https://www.ris.bka.gv.at/Dokument.wxe?ResultFunctionToken=000ac915-afb3-448b-9d57-4ef8821c4f62&Position=1&SkipToDocumentPage=True&Abfrage=Dsk&Entscheidungsart=Undefined&Organ=Undefined&SucheNachRechtssatz=True&SucheNachText=True&GZ=&VonDatum=01.01.1990&BisDatum=&Norm=&ImRisSeitVonDatum=&ImRisSeitBisDatum=&ImRisSeit=EinerWoche&ResultPageSize=100&Suchworte=DSGVO&Dokumentnummer=DSBT_20250904_2025_0_699_550_00,https://www.enforcementtracker.com/ETid-2938 (Copy: ) | Short URL: https://etid.link/ETid-2938 ETid 2938 | https://www.enforcementtracker.com/ETid-2938
,ETid-2937 | https://www.enforcementtracker.com/ETid-2937,CROATIA CROATIA,Croatian Data Protection Authority (azop),2025-11-24,"4,500,000",Telecommunications operator (operator of electronic communications networks and services),"Media, Telecoms and Broadcasting","Art. 5 (1) b), c), (2) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 13 (1) f) GDPR, Art. 28 (1) GDPR, Art. 44 GDPR, Art. 46 (1) GDPR",Non-compliance with general data processing principles,"Following an ex officio investigation, AZOP imposed a EUR 4.5 million fine on a telecommunications operator for multiple GDPR infringements. The controller transferred customer personal data to a processor in the Republic of Serbia (a group company maintaining software). Transfers had been based on Standard Contractual Clauses (SCCs) from 16 April 2020 until at the latest 27 December 2022; after that date, transfers continued without SCCs or equivalent safeguards, despite Serbia lacking an adequacy decision. The Serbian processor had administrator access to the controller’s SAP CRM database covering 847,862 data subjects, with access to extensive customer data (including name, Personal Identification Number, address, service/installation/billing addresses, contact details, email, IBAN for SEPA direct debit users, MSISDN, ICCID, and service information). The controller also failed to conduct a transfer risk assessment before commencing transfers. In addition, the controller did not transparently inform data subjects about third-country transfers, using vague “may” language in privacy policies instead of clearly stating that data are transferred outside the EEA, thereby breaching transparency obligations. Separately, the controller excessively processed employee data by collecting copies of employees’ ID cards and certificates of no criminal proceedings without a valid legal basis and contrary to the data minimisation and purpose limitation principles; notably, it disregarded its DPO’s opinion flagging such collection as excessive. Finally, the controller failed to carry out prior checks of a telesales processor’s security measures and engaged a processor lacking even basic safeguards, in breach of Article 28(1) GDPR.",link | https://azop.hr/administrative-fine-of-eur-4-5-million-imposed-on-a-telecommunications-operator-14-november-2025/,https://www.enforcementtracker.com/ETid-2937 (Copy: ) | Short URL: https://etid.link/ETid-2937 ETid 2937 | https://www.enforcementtracker.com/ETid-2937
,ETid-2936 | https://www.enforcementtracker.com/ETid-2936,GREECE GREECE,Hellenic Data Protection Authority (HDPA),2025-10-09,"10,000",Municipality of Moschato–Tavros,Public Sector and Education,"Art. 5 (1) a), c), (2) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR, Art. 25 (1) GDPR",Insufficient legal basis for data processing,"The Hellenic DPA has imposed a fine of EUR 10,000 on the Municipality of Moschato–Tavros. The controller installed a video surveillance system in a depot to protect municipal vehicles. However, the controller failed to ensure, during the design phase, that the cameras only processed the necessary data. They also failed to adequately inform their employees and record the processing activities.",link link | https://www.dpa.gr/sites/default/files/2025-11/38_2025%20anonym.pdf,https://www.enforcementtracker.com/ETid-2936 (Copy: ) | Short URL: https://etid.link/ETid-2936 ETid 2936 | https://www.enforcementtracker.com/ETid-2936
,ETid-2935 | https://www.enforcementtracker.com/ETid-2935,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-10-03,"30,000","THE RED KIWI, S.L.",Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient legal basis for data processing,"The Spanish DPA has imposed a fine of EUR 30,000 on THE RED KIWI, S.L. The controller created a WhatsApp group for its customers, disclosing the mobile phone numbers of other customers to group members.",link | https://www.aepd.es/documento/ps-00158-2023.pdf,https://www.enforcementtracker.com/ETid-2935 (Copy: ) | Short URL: https://etid.link/ETid-2935 ETid 2935 | https://www.enforcementtracker.com/ETid-2935
,ETid-2934 | https://www.enforcementtracker.com/ETid-2934,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-08-11,"80,000","BIZUM, S.L.","Finance, Insurance and Consulting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The Spanish DPA has imposed a fine of EUR 80,000 on BIZUM, S.L. The controller failed to implement sufficient technical and organisational measures to ensure data security, resulting in a data breach. The original fine of EUR 100,000 was reduced to EUR 80,000 due to admission of responsibility by the controller.",link | https://www.aepd.es/documento/ps-00283-2025.pdf,https://www.enforcementtracker.com/ETid-2934 (Copy: ) | Short URL: https://etid.link/ETid-2934 ETid 2934 | https://www.enforcementtracker.com/ETid-2934
,ETid-2933 | https://www.enforcementtracker.com/ETid-2933,SPAIN SPAIN,Spanish Data Protection Authority (aepd),2025-08-31,"2,000",GESTIÓN DE VENTAS IBERIA S.L.,Industry and Commerce,Art. 14 GDPR,Insufficient fulfilment of data subjects rights,"The Spanish DPA has imposed a fine of EUR 2,000 on GESTIÓN DE VENTAS IBERIA S.L. The controller contacted a data subject for direct marketing purposes, thereby violating local laws. The controller also failed to inform the data subject how their data had been acquired.",link | https://www.aepd.es/documento/ps-00522-2024.pdf,https://www.enforcementtracker.com/ETid-2933 (Copy: ) | Short URL: https://etid.link/ETid-2933 ETid 2933 | https://www.enforcementtracker.com/ETid-2933
,ETid-2932 | https://www.enforcementtracker.com/ETid-2932,ROMANIA ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2025-11-17,"8,000",PGS SOFA & CO SRL,Industry and Commerce,"Art. 32 (1) b), d), (2) GDPR",Insufficient technical and organisational measures to ensure information security,"The Romanian DPA has imposed a fine of EUR 8,000 on PGS SOFA & CO SRL. The controller suffered a successful cyber attack due to insufficient technical and organisational measures.",link | https://www.dataprotection.ro/?page=Comunicat_Presa_17.11.2025,https://www.enforcementtracker.com/ETid-2932 (Copy: ) | Short URL: https://etid.link/ETid-2932 ETid 2932 | https://www.enforcementtracker.com/ETid-2932
,ETid-2931 | https://www.enforcementtracker.com/ETid-2931,ROMANIA ROMANIA,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2025-11-12,"4,000",Fan Courier Express S.R.L.,Transportation and Energy,"Art. 5 (1) a), c), e) GDPR, Art. 6 (1) GDPR, Art. 12 (2), (3), (4) GDPR, Art. 15 (1), (3) GDPR, Art. 17 GDPR",Insufficient fulfilment of data subjects rights,"The Romanian DPA has imposed a fine of EUR 4,000 on Fan Courier Express S.R.L. The controller failed to adequately react to a data subject's request to exercise their rights, and also processed data without sufficient legal basis.",link | https://www.dataprotection.ro/?page=Comunicat_Presa_12_11_2025,https://www.enforcementtracker.com/ETid-2931 (Copy: ) | Short URL: https://etid.link/ETid-2931 ETid 2931 | https://www.enforcementtracker.com/ETid-2931
,ETid-2930 | https://www.enforcementtracker.com/ETid-2930,LATVIA LATVIA,Data State Inspectorate (DSI),2025-10-28,"300,000",SIA 'ZZ Dats',Public Sector and Education,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,"The Latvian DPA has imposed a fine of EUR 300,000 on SIA 'ZZ Dats'. The entity that was fined was the data processor for almost all local governments in Latvia. It failed to implement adequate technical and organisational measures to ensure data security, resulting in a data breach. The entity appealed the decision to the Riga City Court.",link | https://www.dvi.gov.lv/lv/jaunums/inspekcija-noslegusi-parbaudi-par-personas-datu-aizsardzibas-parkapumu,https://www.enforcementtracker.com/ETid-2930 (Copy: ) | Short URL: https://etid.link/ETid-2930 ETid 2930 | https://www.enforcementtracker.com/ETid-2930
,ETid-2929 | https://www.enforcementtracker.com/ETid-2929,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-09,"16,000",Order of Nursing Professions of Pisa,Health Care,"Art. 5 (1) a) GDPR, Art. 6 (1) e), (2), (3) GDPR",Insufficient legal basis for data processing,"The Italian DPA has imposed a fine of EUR 16,000 on the Order of Nursing Professions of Pisa. The controller is publishing a list of all professionals within their area of responsibility. Due to an internal error, this list included the private addresses of all the professionals listed.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10192784,https://www.enforcementtracker.com/ETid-2929 (Copy: ) | Short URL: https://etid.link/ETid-2929 ETid 2929 | https://www.enforcementtracker.com/ETid-2929
,ETid-2928 | https://www.enforcementtracker.com/ETid-2928,ITALY ITALY,Italian Data Protection Authority (Garante),2025-10-09,"6,000",Interprovincial Order of Medical Radiology Technicians and Technical Health Professions in Rehabilitation and Prevention of AQ - CH - PE - TE,Health Care,"Art. 5 (1) a), d) GDPR, Art. 6 (1) c), e) GDPR, Art. 37 (1) a) GDPR",Insufficient legal basis for data processing,"The Italian DPA has imposed a fine of EUR 6,000 on the Interprovincial Order of Medical Radiology Technicians and Technical Health Professions in Rehabilitation and Prevention of AQ - CH - PE - TE. The controller forwarded data without a sufficient legal basis and also failed to appoint a DPO.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10192819,https://www.enforcementtracker.com/ETid-2928 (Copy: ) | Short URL: https://etid.link/ETid-2928 ETid 2928 | https://www.enforcementtracker.com/ETid-2928
,ETid-2927 | https://www.enforcementtracker.com/ETid-2927,ITALY ITALY,Italian Data Protection Authority (Garante),2025-09-25,"1,000",Green.mec. s.r.l.,Employment,"Art. 13 (3) GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,"The Italian DPA has imposed a fine of EUR 1,000 on Green.mec. s.r.l. The controller failed to adequately respond to a former employee's request to exercise their data subject rights.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10191266,https://www.enforcementtracker.com/ETid-2927 (Copy: ) | Short URL: https://etid.link/ETid-2927 ETid 2927 | https://www.enforcementtracker.com/ETid-2927
,ETid-2926 | https://www.enforcementtracker.com/ETid-2926,ITALY ITALY,Italian Data Protection Authority (Garante),2025-09-25,"35,000",E-Power S.r.l.,Transportation and Energy,"Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 12 GDPR, Art. 15 GDPR, Art. 17 GDPR, Art. 21 GDPR, Art. 24 GDPR",Non-compliance with general data processing principles,"The Italian DPA has imposed a fine of EUR 35,000 on E-Power S.r.l. The controller engaged in direct marketing activities in a way that violated general data processing principles.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10187997,https://www.enforcementtracker.com/ETid-2926 (Copy: ) | Short URL: https://etid.link/ETid-2926 ETid 2926 | https://www.enforcementtracker.com/ETid-2926
,ETid-2925 | https://www.enforcementtracker.com/ETid-2925,ITALY ITALY,Italian Data Protection Authority (Garante),2025-09-25,"3,960",Comune di Pazzano,Public Sector and Education,"Art. 12 GDPR, Art. 13 GDPR, Art. 58 (2) d) GDPR",Insufficient cooperation with supervisory authority,"The Italian DPA has imposed a fine of EUR 3,960 on the Commune di Pazzano. The controller failed to comply with a order of the DPA.",link | https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/10184621,https://www.enforcementtracker.com/ETid-2925 (Copy: ) | Short URL: https://etid.link/ETid-2925 ETid 2925 | https://www.enforcementtracker.com/ETid-2925
