enforcement_id,country_code,company_name,sector,violation_group,violation_type,enforcement_date,fine_amount_usd,enforcing_agency,summary,source_url
ETid-1730,UK,TikTok,"Media, Telecoms and Broadcasting","Art. 5 (1) a) GDPR, Art. 12 GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,2023-04-04,15660000.000000002,Information Commissioner (ICO),"The UK DPA (ICO) has fined TikTok EUR 14.5 million. The ICO had found that more than one million British children under the age of 13 were using TikTok without the consent of their parents. The ICO criticized TikTok for failing to implement adequate controls to identify and remove underage children from its platform. Further, the ICO found that TikTok did not provide users of the platform with sufficient and easily understandable information about the collection, use and disclosure of their data. 
For this reason, the ICO concluded that TikTok had not ensured that its users' personal data was processed in a lawful, fair and transparent manner.",https://etid.link/ETid-1730; https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2023/04/ico-fines-tiktok-127-million-for-misusing-children-s-data/; https://www.enforcementtracker.com/ETid-1730
ETid-1461,UK,Interserve Group Limited,Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,2022-10-19,5435640.0,Information Commissioner (ICO),"The British DPA has fined the construction group Interserve Group Limited EUR 5,033,000. The controller had notified the DPA of a data breach pursuant to Art. 33 GDPR. 
Interserve had suffered a cyber attack in which the attackers sent a phishing mail to the mailbox of Interserve's accounting team. The mail was opened by an employee who also downloaded and opened an attached zip file. This allowed the attackers to install malware and siphon off personal data from 113,000 employees. The siphoned data contained bank account information, social security numbers, ethnicity, sexual orientation and religion of the data subjects, among other things. 

The DPA's investigation found that inadequate security measures allowed the attack to occur. 

Interservere employees, for example, had not been adequately trained on data privacy. 

In addition, Interserve processed personal data on unsupported operating systems that were no longer subject to security updates to address vulnerabilities in the system. Also, Interserve had not conducted adequate vulnerability scans. Finally, Interserve's information security team had not sufficiently investigated the attack as antivirus software reported that the malware had been removed.",https://etid.link/ETid-1461; https://ico.org.uk/media/action-weve-taken/mpns/4021951/interserve-group-limited-monetary-penalty-notice.pdf; https://www.enforcementtracker.com/ETid-1461
ETid-1422,UK,Easylife Ltd.,Industry and Commerce,"Art. 5 (1) a) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 13 (1) c) GDPR, Regulation 21 PECR",Insufficient legal basis for data processing,2022-10-04,1670760.0,Information Commissioner (ICO),"The UK DPA has imposed a fine of EUR 1,547,000 on Easylife Ltd. Easylife is a retailer that sells household items as well as services and products under its health, motor, supercard and garden clubs.

When purchasing certain products, the company made assumptions about the customer's health condition, whereupon the customer was then offered further products for purchase by phone or SMS that were related to their health condition. 

Of the 122 products in Easylife's Health Club catalog, 80 items were classified as 'trigger products.' Once customers purchased these products, Easlylife created a profile of them in order to target them with a health-related item. 

During its investigation, the DPA found that the company collected and used the personal data (health data) of a total of 145,500 data subjects without their consent or even knowledge. 

The DPA found that this 'invisible' processing of the personal data constituted a serious violation of the data subjects' rights, as they were not able to exercise their privacy and data protection rights at all due to lack of knowledge of the processing. 

In addition, the company had made 1,345,732 unsolicited marketing calls to individuals without their consent to the calls. The DPA considered this a violation of the PECR.",https://etid.link/ETid-1422; https://ico.org.uk/media/action-weve-taken/mpns/4021801/easylife-limited-mpn-article-5-1-a-20221004.pdf; https://www.enforcementtracker.com/ETid-1422
ETid-1250,UK,Tavistock & Portman NHS Foundation Trust,Public Sector and Education,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,2022-06-09,98280.0,Information Commissioner (ICO),"The UK DPA (ICO) has fined the Tavistock and Portman NHS Foundation Trust EUR 91,000. The Tavistock and Portman NHS Foundation Trust is a mental health specialist trust located in London.

In early September 2019, the trust wanted to run a contest asking patients at the adult gender identity clinic to provide artwork to decorate a renovated clinic building. For this, two emails were inadvertently sent with an open distribution list (one to 912 recipients and the second to 869 recipients).

It was clear from the content of the email that all recipients were patients of the clinic. The trust immediately recognized the error and unsuccessfully attempted to recall the emails. 

As part of its investigation, the IOC determined that the trust had no technical or organizational measures in place to prevent or mitigate this highly predictable human error. The ICO rated the harm to affected individuals as high given that information about the affected individuals' relationship with a gender identity clinic is very sensitive personal information. 


Due to immediate implementation of security measures and extensive cooperation with the ICO, the fine was reduced from EUR 910,000 to EUR 91,00.",https://etid.link/ETid-1250; https://ico.org.uk/media/action-weve-taken/mpns/4020812/the-tavistock-portman-nhs-foundation-trust-mpn.pdf; https://www.enforcementtracker.com/ETid-1250
ETid-1190,UK,Clearview Al Inc.,Industry and Commerce,"Art. 5 (1) a), e) GDPR, Art. 6 GDPR, Art. 9 GDPR, Art. 14 GDPR, Art. 15 GDPR, Art. 16 GDPR, Art. 17 GDPR, Art. 21 GDPR, Art. 22 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,2022-05-18,9720000.0,Information Commissioner (ICO),"The UK DPA has fined Clearview AI Inc. EUR 9 million. The company holds a database of more than 20 billion facial images (including those of UK residents and nationals) from around the world. The data is collected online from publicly accessible platforms such as social networks. The company offers a search service that allows individuals be identified based on the biometric data extracted from the images. Individuals' profiles can be enriched with information associated with those images, such as image tags and geolocation. Clearview AI no longer offers its services in the UK, but it does in other countries, which means that the company continues to use personal data of UK residents. 

In the course of its investigation the DPA found that the personal data contained in the company's database had been processed unlawfully and without a valid legal basis. 

Furthermore, in order to exercise their rights under the GDPR, such as the right of access under Art. 15 GDPR, data subjects had to provide Clearview with additional personal data by submitting a photograph of themselves that could be matched against the Clearview database. According to the DPA, this constitutes a significant impediment and deterrent to the exercise of such rights.

In addition, the DPA found that the company had violated several principles of the GDPR. For example, the company had violated the principle of transparency by failing to adequately inform users about the processing of their data. Clearview had also violated violated the principle of storage limitation by not providing a data retention policy and thus not being able to ensure that personal data is not held for longer than necessary. Further, Clearview failed to conduct a privacy impact assessment despite the high risk to data subjects' data.",https://etid.link/ETid-1190; https://ico.org.uk/about-the-ico/news-and-events/news-and-blogs/2022/05/ico-fines-facial-recognition-database-company-clearview-ai-inc/; https://www.enforcementtracker.com/ETid-1190
ETid-1188,UK,Tuckers Solicitors LLP,"Finance, Insurance and Consulting",Art. 5 (1) a) f) GDPR,Non-compliance with general data processing principles,2022-03-10,124200.0,Information Commissioner (ICO),"The UK DPA (ICO) has fined law firm Tuckers Solicitors LLP EUR 115,000. Tuckers suffered a ransomware attack on its systems, which resulted in a personal data breach. As part of its investigation, the DPA determined that Tuckers had failed to take appropriate technical and organizational measures to protect personal data. This failure left its systems vulnerable to malicious attacks. The attackers managed to encrypt 972,191 individual files of which 24,712 were related to court proceedings and to siphon off 60 files and publish them in underground data marketplaces. The files contained both personal and special category data, such as medical records, witness statements, names and addresses of witnesses and victims, and the alleged crimes of data subjects.",https://etid.link/ETid-1188; https://ico.org.uk/media/action-weve-taken/mpns/4019746/tuckers-mpn-20220228.pdf; https://www.enforcementtracker.com/ETid-1188
ETid-930,UK,Cabinet Office,Public Sector and Education,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,2021-11-25,631800.0,Information Commissioner (ICO),"The UK DPA (ICO) has fined the Cabinet Office EUR 585,000. 

On December 27, 2019, the Cabinet Office published a file on GOV.UK containing the names and uncensored addresses of more than 1,000 individuals who had received New Year's honors. Individuals from a wide range of professions across the United Kingdom were affected, including individuals with a high public profile.

After learning of the data breach, the Cabinet Office removed the web link to the file. However, the file was still in the cache and was accessible online to people who had the exact website address.

The disclosed personal data was available online for two hours and 21 minutes and had been accessed 3,872 times.

The breach occurred due to an error in the setup of the Cabinet Office's new IT system. 

The ICO found that the Cabinet Office failed to take appropriate technical and organizational measures to ensure a level of protection appropriate with the risk to data subjects.",https://etid.link/ETid-930; https://ico.org.uk/about-the-ico/news-and-events/news-and-blogs/2021/12/cabinet-office-fined-500-000-for-new-year-honours-data-breach/; https://www.enforcementtracker.com/ETid-930
ETid-883,UK,HIV Scotland,Individuals and Private Associations,"Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,2021-10-18,12744.0,Information Commissioner (ICO),"The British DPA (ICO) has imposed a fine of EUR 11,800 on the non-profit organization HIV Scotland. The controller had sent an e-mail to 105 people, with e-mail addresses on the mailing list visible to all recipients. In the case of 65 of the e-mail addresses, persons could be identified by name. It was possible to draw conclusions about the individuals' HIV status or risk based on the personal data provided.The DPA found that the organization had failed to implement appropriate technical and organizational measures to ensure a level of security appropriate to the risk. For example, the organization had conducted inadequate employee training and used improper methods for sending bulk e-mails via blind copy (bcc).","https://etid.link/ETid-883; https://ico.org.uk/media/action-weve-taken/mpns/4018736/mpn-hiv-scotland-20211018.pdf,; https://www.enforcementtracker.com/ETid-883"
ETid-752,UK,Mermaids,Individuals and Private Associations,"Art. 5 (1) f) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,2021-07-05,31320.000000000004,Information Commissioner (ICO),"The ICO has fined transgender charity Mermaids EUR 29,000 for failing to protect the personal data of its users, in breach of Art. 5 (1) f) UK GPDR and Art. 32 (1), (2) UK GDPR. 
The ICO conducted an investigation after it received a report of a data breach relating to an internal email group.
During the investigation, the ICO found that the group was created with insufficiently secure settings, resulting in approximately 780 pages of confidential emails being viewable online for nearly three years.  This resulted in personal information, such as names and email addresses, of 550 people being online. 
The ICO concludes that Mermaids should have restricted access to its email group and could have considered pseudonymization or encryption to provide additional protection for the personal data. Organizations responsible for personal data must ensure that they take the appropriate technical and organizational measures to ensure the security of personal data.",https://etid.link/ETid-752; https://ico.org.uk/media/action-weve-taken/mpns/2620171/mermaids-mpn-20210705.pdf; https://www.enforcementtracker.com/ETid-752
ETid-440,UK,Ticketmaster UK Limited,Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,2020-11-13,1517400.0,Information Commissioner (ICO),"Ticketmaster UK Limited has been fined GBP 1.25 million (approximately EUR 1.405 million) for failing to protect the personal data of its customers with adequate security measures. Potentially 9.4 million European customers could have been affected by a cyber attack between February 2018 and June 23, 2018 due to the use of an insufficiently secured chat bot hosted by a third party in its online payment site which allowed an attacker to gain access to customers' financial information. According to the Data Protection Agency, personal data such as names, full payment card numbers, Ticketmaster usernames and passwords, expiration dates and Card Verification Value (CVV) numbers were affected. The DPA also found that 60,000 payment cards belonging to Barclays Bank customers were subject to fraud, and several international banks also reported fraudulent activity to Ticketmaster.",https://etid.link/ETid-440; https://ico.org.uk/media/action-weve-taken/2618609/ticketmaster-uk-limited-mpn.pdf; https://www.enforcementtracker.com/ETid-440
ETid-158,UK,Doorstep Dispensaree Ltd. (Pharmacy),Health Care,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,2019-12-17,345600.0,Information Commissioner (ICO),"The company had stored some 500,000 documents containing names, addresses, dates of birth, NHS numbers and medical information and prescriptions in unsealed containers at the back of the building and failed to protect these documents from the elements, resulting in water damage to the documents.",https://etid.link/ETid-158; https://ico.org.uk/media/action-weve-taken/enforcement-notices/2616741/doorstop-en-20191217.pdf; https://www.enforcementtracker.com/ETid-158
ETid-60,UK,"Marriott International, Inc",Accomodation and Hospitality,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,2020-10-30,22086000.0,Information Commissioner (ICO),"Original Summary: The ICO issued a notice of its intention to fine Marriott International Inc due to a cyber incident which was notified to the ICO by Marriott in November 2018. A variety of personal data contained in approximately 339 million guest records globally were exposed by the incident, of which around 30 million related to residents of 31 countries in the European Economic Area (EEA). Seven million related to UK residents.

It is believed the vulnerability began when the systems of the Starwood hotels group were compromised in 2014. Marriott subsequently acquired Starwood in 2016, but the exposure of customer information was not discovered until 2018. The ICO’s investigation found that Marriott failed to undertake sufficient due diligence when it bought Starwood and should also have done more to secure its systems.

--> Update: On 2020/10/30, the ICO announced its final decision to impose a fine of £ 18.4 million (approximately EUR 20.4 million) on Marriott International Inc. In its decision, the ICO set forth its considerations for the calculation of the fine, which included Marriott's absence of prior violations or omissions and the fact that Marriott had fully cooperated with the investigation and had taken steps to notify the individuals concerned. In addition, the ICO noted that it had also made an alignment with other fines already imposed on other companies - in particular also of other European data protection authorities.",https://etid.link/ETid-60; https://ico.org.uk/media/action-weve-taken/mpns/2618524/marriott-international-inc-mpn-20201030.pdf; https://www.enforcementtracker.com/ETid-60
ETid-58,UK,British Airways,Transportation and Energy,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,2020-10-16,23809680.0,Information Commissioner (ICO),"In July 2019, the ICO issued a notice of its intention to fine British Airways £183.39M for GDPR infringements which likely involve a breach of Art. 32 GDPR. The proposed fine relates to a cyber incident notified to the ICO by British Airways in September 2018. This incident in part involved user traffic to the British Airways website being diverted to a fraudulent site. Through this false site, customer details were harvested by the attackers. Personal data of approximately 500,000 customers were compromised in this incident, which is believed to have begun in June 2018. The ICO’s investigation has found that a variety of information was compromised by poor security arrangements at the company, including log in, payment card, and travel booking details as well name and address information.

In the meantime, the final fine imposed on the airline has been set at £20 million (approximately EUR 22,046,000). The ICO emphasized that when setting the amount of the fine, it also took into account the economic impact of the COVID-19 ('Coronavirus') pandemic on the airline industry.",https://etid.link/ETid-58; https://ico.org.uk/action-weve-taken/enforcement/british-airways/; https://www.enforcementtracker.com/ETid-58
VTG24-66397,GB,Airbus SE,aerospace and military contracting,competition-related offenses,kickbacks and bribery,2020-01-31,1307624500.0,Serious Fraud Office,"The indictment, which has been suspended for the term of the DPA, covers five counts of failure to prevent bribery. The conduct involves Airbus' Commercial and Defence & Space divisions. The conduct covered by the UK DPA took place across five jurisdictions: Sri Lanka, Malaysia, Indonesia, Taiwan and Ghana between 2011 and 2015.",Link to this record on Violation Tracker UK: here
VTG24-73397,GB,AstraZeneca,pharmaceuticals,financial offenses,tax violations,2010-02-23,780932000.0,HM Revenue & Customs,"AztraZenica agreed to pay £505 million to resolve claims made by HMRC of incorrect transfer pricing, as well as other outstanding UK tax matters.",Link to this record on Violation Tracker UK: here
VTG24-67264,GB,Entain plc,entertainment,competition-related offenses,kickbacks and bribery,2023-11-24,774961500.0,HM Revenue & Customs,"Entain agreed to pay £585 million in penalties and disgorgement of profits, make a charitable donation of £20 million, and pay costs of £10 million, in a Deferred Prosecution Agreement settling a court case resulting from an HMRC investigation which alleged failures by the company to have adequate procedures to prevent bribery at its former Turkish gambling operations.",Link to this record on Violation Tracker UK: here
VTG24-66401,GB,Rolls-Royce PLC,aerospace and military contracting,competition-related offenses,kickbacks and bribery,2017-01-17,632097700.0,Serious Fraud Office,"The agreement with the company followed the SFO's four-year investigation into bribery and corruption. The indictment covered 12 counts of conspiracy to corrupt, false accounting and failure to prevent bribery. The conduct spanned three decades and involved Rolls-Royce's Civil Aerospace and Defence Aerospace businesses and its former Energy business and related to the sale of aero engines, energy systems and related services. The conduct covered by the UK DPA took place across seven jurisdictions: Indonesia, Thailand, India, Russia, Nigeria, China and Malaysia. The Judge ruled in a public hearing at the Royal Courts of Justice that the DPA's terms were fair, reasonable and proportionate and that the DPA was in the interests of justice. He also agreed that the total sum in the UK settlement (£497.25m plus interest and the SFO's costs of £13m) reflected the gravity of the conduct, the full cooperation of Rolls-Royce PLC in the investigation, and the programme of corporate reform and compliance put in place by new leadership at the top of the company. The resolution is the highest ever enforcement action against company in the UK for criminal conduct.",Link to this record on Violation Tracker UK: here
VTG24-65912,GB,Barclays Bank plc,financial services,competition-related offenses,foreign exchange market manipulation,2015-05-20,442121101.0,Financial Conduct Authority,"Barclays paid a £284 million fine in settlement of a finding by the FCA that the company failed to have adequate systems and controls over its foreign exchange business, allowing traders to engage in market abuse that put the firm's interests ahead of its clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-66888,GB,Credit Suisse,financial services,financial offenses,banking violation,2021-10-19,403453347.0,Financial Conduct Authority,"The Financial Conduct Authority fined Credit Suisse over £147 million for serious financial crime due diligence failings related to loans worth over US$1.3 billion, which the bank arranged for the Republic of Mozambique. FCA said these loans, and a bond exchange, were tainted by corruption. Credit Suisse also agreed with the FCA to forgive US$200 million (added to the penalty amount here as £145,019,000) of debt owed by the Republic of Mozambique as a result of these tainted loans.",Link to this record on Violation Tracker UK: here
VTG24-65919,GB,UBS AG,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,367368557.0,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-65920,GB,Citibank N.A.,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,354423440.0,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-66927,GB,National Westminster Bank plc,financial services,financial offenses,anti-money-laundering deficiencies,2021-12-13,350373607.0,Financial Conduct Authority,NatWest pleaded guilty to three offences of failing to comply with money laundering regulations by accepting £365 million in cheques and cash from a commerical customer with suspicious behaviour that was not acted upon and was not spotted by an incorrect automated transaction monitoring system.,Link to this record on Violation Tracker UK: here
VTG24-65921,GB,JPMorgan Chase Bank N.A.,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,349067219.0,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-65913,GB,Deutsche Bank AG,financial services,competition-related offenses,interest rate benchmark manipulation,2015-04-23,341265960.0,Financial Conduct Authority,"Deutsche Bank paid a £226 million fine in settlement of a finding by the FCA that the company attempted manipulation of LIBOR rates and was unacceptably misleading, slow and ineffective in responding to the Authority's enquiries.",Link to this record on Violation Tracker UK: here
VTG24-65922,GB,The Royal Bank of Scotland plc,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,340950400.0,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-65923,GB,HSBC Bank plc,financial services,competition-related offenses,foreign exchange market manipulation,2014-12-11,339949546.0,Financial Conduct Authority,"Citibank N.A., HSBC Bank Plc, JPMorgan Chase Bank N.A., The Royal Bank of Scotland Plc and UBS AG were fined a total of £1.1 billion in settlements with the FCA of findings that they failed to have adequate systems and controls over their foreign exchange businesses, allowing traders to engage in market abuse that put the firms' interests ahead of their clients, with inappropriately shared information and manipulation of spot FX currency rates.",Link to this record on Violation Tracker UK: here
VTG24-66432,GB,Coats Group plc,miscellaneous manufacturing,employment-related offenses,benefit plan administrator violation,2017-02-01,323028650.0,The Pensions Regulator,"Coats Group agreed to pay £255.5 million to two pension schemes, and £74 million to a third pension scheme, in settlement of a Warning Notice by TPR alleging the company was liable for substantial deficits in the schemes, which would be left insufficiently resourced and with high levels of risk following Coats selling off its investment shareholdings and allocating the majority of benefit to shareholders.",Link to this record on Violation Tracker UK: here
VTG24-67051,GB,Glencore Energy (UK) Ltd,financial services,competition-related offenses,kickbacks and bribery,2022-11-03,314203262.0,Serious Fraud Office,"Glencore Energy (UK) Ltd was convicted on charges of bribery brought against it by the Serious Fraud Office (SFO). At Southwark Crown Court, the company admitted to multiple counts of paying bribes to secure access to oil and generate illicit profit and was sentenced to pay £280 million.",Link to this record on Violation Tracker UK: here
VTG24-83623,GB,Mastercard,financial services,competition-related offenses,anti-competitive practices,2025-05-20,267420000.0,Competition Appeal Tribunal,Mastercard settled claims it made goods and services more expensive for consumers by charging retailers fees which breached competition laws.,Link to this record on Violation Tracker UK: here
VTG24-65542,GB,Virgin Holidays Ltd and Virgin Atlantic Airways Ltd. and Virgin Atlantic Ltd.,diversified,consumer-protection-related offenses,consumer protection violation,2020-10-12,263250400.0,Competition and Markets Authority,"Virgin Holidays agreed to pay refunds estimated at £203 million to customers requesting money back for holidays that were cancelled due to the pandemic and to do so as close to the legally required 14 days as possible, following an investigation by the CMA of complaints that refunds were delayed.",Link to this record on Violation Tracker UK: here
